指标名称,实测值
I2C_时钟高电平时间(S)_时钟高电平时间(S),2.08us
I2C_时钟低电平时间(S)_时钟低电平时间(S),5.38us
I2C_起始信号建立时间(S)_起始信号建立时间(S),5.55us
I2C_起始信号保持时间(S)_起始信号保持时间(S),5.39us
I2C_数据信号建立时间(S)_数据信号建立时间(S),5.24us
I2C_数据信号保持时间(S)_数据信号保持时间(S),0.27us
I2C_结束信号建立时间(S)_结束信号建立时间(S),5.59us
I2C_空闲时间(S)_空闲时间(S),0.00us
I2C_时钟上升时间(S)_时钟上升时间(S),118.5ns
I2C_时钟下降时间(S)_时钟下降时间(S),3.3ns
I2C_数据上升时间(S)_数据上升时间(S),114.1ns
I2C_数据下降时间(S)_数据下降时间(S),3.3ns
I2C_SCL(S)_高电平电压,1.830V
I2C_SCL(S)_低电平电压,-0.050V
I2C_SDA(S)_高电平电压,1.850V
I2C_SDA(S)_低电平电压,-0.070V
I2C_数据上升时间(M)_数据上升时间(M),114.0ns
I2C_数据下降时间(M)_数据下降时间(M),16.0ns
I2C_数据建立时间(M)_数据建立时间(M),5.26us
I2C_数据保持时间(M)_数据保持时间(M),0.25us
I2C_SDA(M)_高电平电压,1.850V
I2C_SDA(M)_低电平电压,-0.070V
